Rk,Squad,MP_h,W_h,D_h,L_h,GF_h,GA_h,GDiff_h,Pts_h,Pts/G_h,xG_h,xGA_h,xGDiff_h,xGDiff/90_h,MP_a,W_a,D_a,L_a,GF_a,GA_a,GDiff_a,Pts_a,Pts/G_a,xG_a,xGA_a,xGDiff_a,xGDiff/90_a
1,Everton,2,2,0,0,9,4,5,6,3,5.1,1.5,3.6,1.79,2,2,0,0,3,1,2,6,3,3.5,1.4,2.1,1.04
2,Aston Villa,2,2,0,0,8,2,6,6,3,4.9,2.6,2.3,1.14,1,1,0,0,3,0,3,3,3,1.6,0.7,0.9,0.93
3,Leicester City,2,1,0,1,4,5,-1,3,1.5,1.8,3.5,-1.7,-0.86,2,2,0,0,8,2,6,6,3,4.8,1.5,3.3,1.66
4,Arsenal,2,2,0,0,4,2,2,6,3,1.7,2.1,-0.4,-0.18,2,1,0,1,4,3,1,3,1.5,3,3.2,-0.2,-0.09
5,Liverpool,2,2,0,0,7,4,3,6,3,6.3,1.8,4.5,2.27,2,1,0,1,4,7,-3,3,1.5,4.3,4.9,-0.6,-0.3
6,Tottenham,2,0,1,1,1,2,-1,1,0.5,3.3,2.4,0.9,0.46,2,2,0,0,11,3,8,6,3,6.3,2.5,3.8,1.9
7,Chelsea,2,1,0,1,4,2,2,3,1.5,3.7,2.7,1,0.49,2,1,1,0,6,4,2,4,2,3.4,2.4,1,0.52
8,Leeds United,2,1,1,0,5,4,1,4,2,3.4,3.3,0.1,0.03,2,1,0,1,4,4,0,3,1.5,2.1,4.9,-2.8,-1.38
9,Newcastle Utd,2,1,0,1,3,4,-1,3,1.5,2.5,2.2,0.3,0.17,2,1,1,0,3,1,2,4,2,2.5,3.5,-1.1,-0.53
10,West Ham,2,1,0,1,4,2,2,3,1.5,2.9,2.1,0.8,0.39,2,1,0,1,4,2,2,3,1.5,3.5,1.8,1.7,0.87
11,Southampton,2,1,0,1,4,5,-1,3,1.5,2.8,2.6,0.2,0.11,2,1,0,1,1,1,0,3,1.5,1.4,1.2,0.3,0.13
12,Crystal Palace,2,1,0,1,2,2,0,3,1.5,1.1,2.8,-1.7,-0.87,2,1,0,1,3,5,-2,3,1.5,1.7,3.7,-2,-1.02
13,Wolves,2,1,0,1,2,3,-1,3,1.5,2.2,2.7,-0.5,-0.24,2,1,0,1,2,4,-2,3,1.5,1.8,2.4,-0.6,-0.31
14,Manchester City,1,0,0,1,2,5,-3,0,0,1,2.6,-1.6,-1.57,2,1,1,0,4,2,2,4,2,3.4,2.7,0.8,0.39
15,Brighton,2,0,0,2,3,6,-3,0,0,3.8,2.2,1.6,0.81,2,1,0,1,5,4,1,3,1.5,2.8,2.3,0.5,0.27
16,Manchester Utd,2,0,0,2,2,9,-7,0,0,2,5.3,-3.3,-1.66,1,1,0,0,3,2,1,3,3,1.1,2.4,-1.3,-1.34
17,West Brom,2,0,1,1,3,6,-3,1,0.5,1.4,4.5,-3.1,-1.54,2,0,0,2,2,7,-5,0,0,0.4,4.7,-4.3,-2.13
18,Burnley,1,0,0,1,0,1,-1,0,0,0.5,0.6,-0.1,-0.12,2,0,0,2,3,7,-4,0,0,2.5,3.3,-0.8,-0.42
19,Sheffield Utd,2,0,0,2,0,3,-3,0,0,2.2,2.7,-0.5,-0.24,2,0,0,2,1,3,-2,0,0,1,1.4,-0.3,-0.16
20,Fulham,2,0,0,2,0,6,-6,0,0,0.9,3.4,-2.5,-1.27,2,0,0,2,3,5,-2,0,0,2.5,2.9,-0.4,-0.19
